,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,h_per_l,year_sqrt,official_dealer
1383,2017,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197.0,81.8,5,68.33751044277359,4068289,1
1384,2017,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,1
1385,2018,6001,Petrol,Dealer,Manual,First Owner,15.9,1496.0,120.69,5,80.67513368983957,4072324,0
1386,2013,80000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5,49.11743772241993,4052169,0
1387,2018,12000,Diesel,Individual,Manual,First Owner,19.6,1461.0,108.45,5,74.22997946611909,4072324,0
1388,2017,40000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5,63.56017191977078,4068289,0
1389,2010,130000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,5,60.09615384615385,4040100,0
1390,2018,40000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5,70.91346153846153,4072324,0
1391,2000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,5,60.42296072507553,4000000,0
1392,2008,120000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5,52.104208416833664,4032064,0
1393,2015,60000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,59.294871794871796,4060225,0
1394,2006,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5,58.16582914572864,4024036,0
1395,2003,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4,46.482412060301506,4012009,0
1396,2006,100000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4024036,0
1397,2004,160000,Diesel,Individual,Manual,Third Owner,13.1,1493.0,82.0,5,54.922973878097785,4016016,0
1398,2005,100000,Diesel,Individual,Manual,Third Owner,13.1,1493.0,82.0,5,54.922973878097785,4020025,0
1399,2013,60000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,71.12179487179488,4052169,0
1400,2010,135000,Diesel,Individual,Manual,Third Owner,18.3,1991.0,147.9,5,74.28427925665494,4040100,0
1401,2016,90000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,68.33751044277359,4064256,0
1402,2013,75000,Diesel,Individual,Manual,Second Owner,22.07,1199.0,73.9,5,61.63469557964971,4052169,0
1403,2005,185000,Diesel,Individual,Manual,Second Owner,11.4,2494.0,100.6,7,40.336808340016034,4020025,0
1404,2015,71717,Petrol,Individual,Automatic,Second Owner,19.34,1198.0,76.0,5,63.43906510851419,4060225,0
1405,2011,150000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8,55.07113354749886,4044121,0
1406,2016,55000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,59.294871794871796,4064256,0
1407,2012,90000,Petrol,Individual,Manual,Second Owner,15.3,1596.0,99.6,5,62.40601503759398,4048144,0
1408,2018,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5,67.06706706706707,4072324,0
1409,2015,120000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7,56.50570087189805,4060225,0
1410,2011,100000,LPG,Individual,Manual,Second Owner,13.45,1086.0,62.1,5,57.18232044198895,4044121,0
1411,2009,40000,Petrol,Individual,Automatic,Third Owner,12.9,1799.0,130.0,5,72.26236798221234,4036081,0
1412,2010,100000,Diesel,Individual,Manual,First Owner,13.0,2489.0,95.0,8,38.16793893129771,4040100,0
1413,2016,120000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,5,67.89352914180817,4064256,0
1414,2014,60000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,5,67.23446893787575,4056196,0
1415,2019,2000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9,24.97027348394768,4076361,0
1416,2012,100000,Diesel,Individual,Manual,First Owner,14.0,2523.0,75.0,8,29.726516052318665,4048144,0
1417,2015,110000,Diesel,Individual,Manual,First Owner,14.95,2489.0,93.7,7,37.64564081960627,4060225,0
1418,2011,84321,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5,50.1432664756447,4044121,0
1419,2013,177000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,64.24965580541533,4052169,0
1420,2010,60000,Diesel,Individual,Manual,First Owner,18.0,1248.0,75.0,5,60.09615384615385,4040100,0
1421,2008,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,65.91478696741855,4032064,0
1422,2011,70000,Petrol,Individual,Manual,Third Owner,18.9,1248.0,74.0,5,59.294871794871796,4044121,0
1423,2013,126000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,74.22997946611909,4052169,0
1424,2015,70000,Diesel,Individual,Manual,First Owner,19.1,1405.0,70.0,5,49.8220640569395,4060225,0
1425,2017,82000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7,66.97923643670461,4068289,0
1426,2004,110000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4,46.482412060301506,4016016,0
1427,2015,45000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5,69.45697577276525,4060225,0
1428,2012,70000,Diesel,Individual,Manual,Second Owner,21.64,1461.0,84.8,5,58.04243668720054,4048144,0
1429,2015,80000,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5,57.35797399041752,4060225,0
1430,2017,45000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7,55.07113354749886,4068289,0
1431,2017,60000,Petrol,Individual,Manual,First Owner,20.3,998.0,68.05,5,68.18637274549098,4068289,0
1432,2013,41800,Petrol,Individual,Manual,First Owner,18.6,1197.0,85.8,5,71.67919799498746,4052169,0
1433,2010,132000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4040100,0
1434,2017,50000,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,5,59.31089743589743,4068289,0
1435,2012,40000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,48.60614724803431,4048144,0
1436,2009,96000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,63.14797360980208,4036081,0
1437,2012,117000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,8,44.83586869495596,4048144,0
1438,2011,110000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,5,62.66114180478821,4044121,0
1439,2014,100000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,5,65.82109479305741,4056196,0
1440,2007,88700,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5,58.16582914572864,4028049,0
1441,2012,70000,Petrol,Individual,Manual,Second Owner,16.95,1498.0,97.7,5,65.22029372496662,4048144,0
1442,2010,110000,Petrol,Individual,Manual,Second Owner,17.3,1061.0,64.0,5,60.32045240339303,4040100,0
1443,2016,15000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4064256,0
1444,2012,80000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,65.0,5,44.49007529089664,4048144,0
1445,2014,50000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5,71.67919799498746,4056196,0
1446,2018,15000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,67.81326781326783,4072324,0
1447,2017,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5,67.13391739674593,4068289,0
1448,2011,57000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5,43.874058863791916,4044121,0
1449,2012,75000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,24.613555291319855,4048144,0
1450,2013,26000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5,61.03678929765886,4052169,0
1451,2015,160000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.01,5,63.401785714285715,4060225,0
1452,2010,120000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4040100,0
1453,2014,50000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4056196,0
1454,2012,40000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5,58.16582914572864,4048144,0
1455,2011,90000,Diesel,Individual,Manual,Third Owner,18.9,1248.0,74.0,5,59.294871794871796,4044121,0
1456,2005,120000,Petrol,Individual,Manual,Third Owner,18.9,1248.0,74.0,5,59.294871794871796,4020025,0
1457,2017,28000,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,5,78.3567134268537,4068289,0
1458,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5,59.31089743589743,4072324,0
1459,2016,40000,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,5,63.53868194842408,4064256,0
1460,2017,113000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5,66.08811748998664,4068289,0
1461,2011,188000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,5,60.09615384615385,4044121,0
1462,2011,100000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,48.60614724803431,4044121,0
1463,2017,67000,Diesel,Individual,Manual,Second Owner,18.49,1493.0,100.0,7,66.97923643670461,4068289,0
1464,2011,70000,Diesel,Individual,Manual,Fourth & Above Owner,25.44,936.0,57.6,5,61.53846153846153,4044121,0
1465,2015,50000,Petrol,Individual,Manual,First Owner,14.28,1798.0,138.03,5,76.7686318131257,4060225,0
1466,2017,34000,Diesel,Individual,Automatic,First Owner,22.0,1498.0,108.495,5,72.42656875834446,4068289,0
1467,2004,110000,Petrol,Individual,Manual,Third Owner,12.8,1493.0,100.0,5,66.97923643670461,4016016,0
1468,2001,71000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4004001,0
1469,2012,100000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5,77.68871075484302,4048144,0
1470,2017,10000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5,68.38763575605681,4068289,0
1471,2018,30000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5,67.17434869739479,4072324,0
1472,2018,20000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,8,62.25045372050817,4072324,0
1473,2018,7000,Petrol,Dealer,Manual,First Owner,20.3,1086.0,68.0,5,62.61510128913444,4072324,0
1474,2018,20000,Diesel,Dealer,Manual,First Owner,17.0,2596.0,80.8,5,31.124807395993834,4072324,0
1475,2019,4875,Petrol,Dealer,Manual,First Owner,21.63,998.0,67.04,5,67.17434869739479,4076361,0
1476,2020,2700,Diesel,Dealer,Automatic,First Owner,17.01,1582.0,126.2,5,79.7724399494311,4080400,0
1477,2015,105000,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,5,66.08811748998664,4060225,0
1478,2018,26235,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6,42.03362690152122,4072324,0
1479,2017,26766,Diesel,Dealer,Manual,First Owner,21.5,1497.0,108.5,5,72.47828991315964,4068289,0
1480,2020,1600,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5,97.17436250861475,4080400,0
1481,2019,23000,Diesel,Dealer,Manual,First Owner,17.3,1497.0,121.0,7,80.82832331329325,4076361,0
1482,2017,24522,Petrol,Dealer,Manual,First Owner,20.4,1197.0,81.8,5,68.33751044277359,4068289,0
1483,2016,63000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4064256,0
1484,2019,2000,Petrol,Dealer,Manual,First Owner,16.2,1199.0,74.0,5,61.71809841534612,4076361,0
1485,2011,190000,Diesel,Individual,Manual,Third Owner,19.2,1461.0,65.0,5,44.49007529089664,4044121,0
1486,2015,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5,65.82109479305741,4060225,0
1487,2015,54000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5,67.18436873747494,4060225,0
1488,2019,5000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7,61.03678929765886,4076361,0
1489,2015,58945,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7,66.97923643670461,4060225,0
1490,2012,90000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,48.60614724803431,4048144,0
1491,2013,160000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7,71.12179487179488,4052169,0
1492,2014,80000,Diesel,Individual,Manual,Second Owner,15.11,1598.0,103.6,5,64.83103879849811,4056196,0
1493,2004,50000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4,46.482412060301506,4016016,0
1494,2015,156975,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9,24.613555291319855,4060225,0
1495,2017,5000,Diesel,Individual,Manual,First Owner,21.43,1364.0,86.79,5,63.62903225806451,4068289,0
1496,2014,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5,68.72393661384487,4056196,0
1497,2013,120000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9,55.07113354749886,4052169,0
1498,2009,120000,Diesel,Individual,Manual,Third Owner,14.0,2498.0,112.0,8,44.83586869495596,4036081,0
1499,2015,58000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5,68.38763575605681,4060225,0
1500,2012,50000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5,65.22029372496662,4048144,0
1501,2017,40000,Petrol,Individual,Automatic,First Owner,20.89,1197.0,81.8,5,68.33751044277359,4068289,0
1502,2018,7800,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5,73.97831526271894,4072324,0
1503,2016,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4064256,0
1504,2011,68000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7,56.42256902761104,4044121,0
1505,2015,60000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7,68.24471959213402,4060225,0
1506,2005,74000,Petrol,Individual,Manual,Second Owner,12.8,1396.0,85.0,5,60.88825214899714,4020025,0
1507,2011,58000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,7,63.37769619091326,4044121,0
1508,2011,70000,Petrol,Individual,Manual,Third Owner,19.0,998.0,66.1,5,66.23246492985972,4044121,0
1509,2015,70000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5,72.5752508361204,4060225,0
1510,2002,80000,Petrol,Individual,Manual,Third Owner,18.9,1248.0,74.0,5,59.294871794871796,4008004,0
1511,2016,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,63.56017191977078,4064256,0
1512,2018,110000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5,49.42693409742121,4072324,0
1513,2020,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5,67.17434869739479,4080400,0
1514,2014,55000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4056196,0
1515,2015,25000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,5,59.26860025220681,4060225,0
1516,2016,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5,66.08811748998664,4064256,0
1517,2017,60000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,5,86.9120654396728,4068289,0
1518,2012,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5,43.189596167008894,4048144,0
1519,2014,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5,70.91346153846153,4056196,0
1520,2019,8000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5,68.38763575605681,4076361,0
1521,2012,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7,56.42256902761104,4048144,0
1522,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,59.294871794871796,4052169,0
1523,2012,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5,43.969849246231156,4048144,0
1524,2014,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,64.24965580541533,4056196,0
1525,2007,137000,CNG,Individual,Manual,First Owner,18.9,1248.0,74.0,5,59.294871794871796,4028049,0
1526,2015,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9,28.971588635454182,4060225,0
1527,2002,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,60.42296072507553,4008004,0
1528,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,59.294871794871796,4052169,0
1529,2015,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9,24.97027348394768,4060225,0
1530,2019,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5,59.31089743589743,4076361,0
1531,2017,80000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6,64.27378964941569,4068289,0
1532,2012,138000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5,79.84829329962072,4048144,0
1533,2003,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5,67.23446893787575,4012009,0
1534,2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7,66.97923643670461,4068289,0
1535,2011,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5,62.311557788944725,4044121,0
1536,2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5,71.12179487179488,4052169,0
1537,2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5,68.89185580774367,4056196,0
1538,2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5,63.581661891117484,4056196,0
1539,2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5,92.23057644110276,4048144,0
1540,2016,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5,67.17434869739479,4064256,0
1541,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,64.24965580541533,4048144,0
1542,2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5,92.23057644110276,4052169,0
1543,2015,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5,57.35797399041752,4060225,0
1544,2011,156000,Diesel,Individual,Manual,First Owner,11.57,2179.0,138.1,7,63.37769619091326,4044121,0
1545,2013,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4052169,0
1546,2008,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5,49.8220640569395,4032064,0
1547,2016,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5,74.26420260095824,4064256,0
1548,2011,160000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7,63.33180357962369,4044121,0
1549,2006,185000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,9,44.691452663855884,4024036,0
1550,2010,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5,50.53380782918149,4040100,0
1551,2018,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5,66.7083854818523,4072324,0
1552,2019,15000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5,68.33751044277359,4076361,0
1553,2012,67500,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10,34.90759753593429,4048144,0
1554,2017,30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7,70.61037173015146,4068289,0
1555,2016,50000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6,64.27378964941569,4064256,0
1556,2016,100000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7,66.97923643670461,4064256,0
1557,2016,150000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9,24.97027348394768,4064256,0
1558,2012,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4048144,0
1559,2011,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5,58.16582914572864,4044121,0
1560,2008,120000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,5,62.12958312405826,4032064,0
1561,2015,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5,59.42211055276381,4060225,0
1562,2015,71850,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,55.92654424040067,4060225,0
1563,2015,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5,60.09615384615385,4060225,0
1564,2008,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5,66.10169491525423,4032064,0
1565,2011,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5,67.81326781326783,4044121,0
1566,2015,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,69.45697577276525,4060225,0
1567,2007,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7,24.97027348394768,4028049,0
1568,2015,145000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5,79.7724399494311,4060225,0
1569,2018,40000,Diesel,Individual,Manual,First Owner,16.0,2179.0,138.0,7,63.33180357962369,4072324,0
1570,2015,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5,59.294871794871796,4060225,0
1571,2008,112000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,5,54.194156456173424,4032064,0
1572,2016,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5,59.24679487179487,4064256,0
1573,2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5,62.36930860033727,4072324,0
1574,2002,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1248.0,74.0,5,59.294871794871796,4008004,0
1575,2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8,55.07113354749886,4048144,0
1576,2012,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7,40.8981555733761,4048144,0
1577,2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7,24.613555291319855,4048144,0
1578,2010,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4040100,0
1579,2010,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5,59.21474358974359,4040100,0
1580,2010,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5,78.82431529726118,4040100,0
1581,2009,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5,62.311557788944725,4036081,0
1582,2011,85000,Diesel,Individual,Manual,First Owner,18.9,1248.0,74.0,5,59.294871794871796,4044121,0
1583,2014,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5,58.04243668720054,4056196,0
1584,2011,108000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7,64.24965580541533,4044121,0
1585,2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5,57.35797399041752,4060225,0
1586,2018,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5,70.62243502051983,4072324,0
1587,2014,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5,81.36164475901585,4056196,0
1588,2018,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,68.3625730994152,4072324,0
1589,2018,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7,29.726516052318665,4072324,0
1590,2013,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5,61.63469557964971,4052169,0
1591,2005,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5,72.73940607273941,4020025,0
1592,2012,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7,81.36164475901585,4048144,0
1593,2017,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,0
1594,2013,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5,52.77650298301974,4052169,0
1595,2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5,74.02835696413678,4072324,0
1596,2018,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5,75.07507507507508,4072324,0
1597,2000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5,66.58291457286431,4000000,0
1598,2016,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,55.92654424040067,4064256,0
1599,2016,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5,65.81441922563418,4064256,0
1600,2015,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,79.7724399494311,4060225,0
1601,2013,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,74.22997946611909,4052169,0
1602,2001,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5,60.42296072507553,4004001,0
1603,2012,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,59.294871794871796,4048144,0
1604,2014,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5,67.17434869739479,4056196,0
1605,2009,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5,65.13240857503152,4036081,0
1606,2010,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5,62.311557788944725,4040100,0
1607,2010,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,63.14797360980208,4040100,0
1608,2016,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5,63.39285714285714,4064256,0
1609,2015,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5,64.0533778148457,4060225,0
1610,2017,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5,65.35380507343125,4068289,0
1611,2014,100000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,8,40.336808340016034,4056196,0
1612,2018,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,68.3625730994152,4072324,0
1613,2017,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5,59.294871794871796,4068289,0
1614,2016,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,68.50459482038428,4064256,0
1615,2019,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5,67.13426853707415,4076361,0
1616,2017,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7,55.968280467445744,4068289,0
1617,2012,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5,67.23446893787575,4048144,0
1618,2012,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,59.294871794871796,4048144,0
1619,2018,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5,68.33751044277359,4072324,0
1620,2016,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7,60.090135202804206,4064256,0
1621,2010,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5,54.194156456173424,4040100,0
1622,2010,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7,44.83586869495596,4040100,0
1623,2013,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9,55.07113354749886,4052169,0
1624,2007,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7,63.37769619091326,4028049,0
1625,2017,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,0
1626,2011,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,59.294871794871796,4044121,0
1627,2012,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5,59.21474358974359,4048144,0
1628,2010,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5,62.66114180478821,4040100,0
